id,text,label
4744757316421185,#凤凰新闻#【美国经济正在收割乌克兰危机前驻美参赞说出了真相】俄乌局势持续紧张，引发全球关切。在这场冲突中，美国看似是在拉架，其实一直在煽风点火，挑拨场内外战争。其中，美方联合西方国家对俄罗斯采取一系列制裁举动，引发国际市...美国经济正在收割乌克兰危机前驻美参赞说出了真相来自@凤凰新闻客户端,乌克兰
4744757312230061,三八节了，看看女士们对俄罗斯与乌克兰战争的看法，都想把老公送上战场。,乌克兰
4744756661325341,《30多国紧急“围攻”俄罗斯，乌克兰又迎来帮手，普京的考验降临》网页链接,乌克兰
4744756653985492,可以让世界和平的办法#又有两架接返自乌克兰撤离中国公民临时航班安全回国#,乌克兰
4744756612041433,乌克兰西北部日托米尔，一处油库昨夜被鹅军精准轰炸了，有17辆污军坦克在此处停放，2辆被炸起火鹅污战争的微博视频,乌克兰
4744756557513502,#关注俄乌局势最新进展#俄方称：已有超16万乌克兰人撤至俄罗斯。李小安0626的微博视频,乌克兰
4744756552534064,俄乌战争从地上又打到空中了，世界上有好多人认为俄军把乌克兰军事设施摧毀净了，俄军实际占领的乌克兰地区还不到20分之一，乌克兰军事基地大部分仍然没损坏，依然战机导弹可以正常执行战争任务。幸福一点红的微博视频,乌克兰
4744756519242271,【湾区哪里油价最便宜？这份省钱攻略请收好】据旧金山纪事报报道，俄罗斯对乌克兰的入侵使加州本已高居不下的汽油价格飙升至历史新高，目前也没有结束的迹象。...网页链接,乌克兰
4744756490144522,"钱线百分百2022-03-07战到乌克兰去军事化!俄乌若不停战,石油危机.俄金融危机恐现?大家直接访问论坛网址qimila.cool即可!",乌克兰
4744756472580350,#凤凰新闻#【俄方开出停火条件】当地时间3月7日，俄罗斯总统新闻秘书佩斯科夫表示，乌克兰应当承认克里米亚地区属于俄罗斯并且承认顿涅茨克和卢甘斯克的独立。如果乌克兰能够接受这些条件，俄罗斯将停止...俄方开出停火条件来自@凤凰新闻客户端,乌克兰
4744756402064116,俄罗斯媒体发表社评文章：澳大利亚与美国沆瀣一气，不想听到中国在乌克兰问题上的独立立场,乌克兰
4744756145428234,俄罗斯攻占了一个乌克兰中部的军事基地，里面的坦克被拉走叙利亚第四装甲师的微博视频,乌克兰
4744757014954030,塞尔维亚，俄罗斯之前最亲近的国家，就这次俄罗斯入侵乌克兰事件，经过多轮会议，最终形成决议：无条件支持乌克兰领土和主权完整，不仅包括顿巴斯，还有克里米亚。哈萨克斯坦不承认顿巴斯独立（但没有提及克里米亚，之前俄罗斯一直要求其承认克里米亚属于俄罗斯），拒绝普丁要其出兵乌克兰的要求。...全文,乌克兰
4744756988477965,俄罗斯官宣谁让乌克兰战斗机使用机场谁就是与俄为敌，就可能要挨打，这话是在说罗马尼亚。百度了一下罗马尼亚是不是北约国家，结果是。,乌克兰
4744756952039935,#尚在乌克兰的中国公民尽快撤离#外交部“领事直通车”微信公众号3月8日消息，当前，乌克兰紧张形势还在升级，不安全、不确定因素增多。外交部和中国驻乌克兰使领馆提醒尚在当地的中国公民尽快撤离。该撤离时尽快走，不要心存侥幸，注意人身安全。,乌克兰
4744756946535799,《俄军公布重大发现！美国在乌克兰的秘密瞒不住了》网页链接,乌克兰
4744745773961459,乌克兰首都基辅，似乎是来自苏格兰的“军事志愿者”，61岁，加入了“Bratstvo”营。#关注俄乌局势最新进展#沙姆雄狮_EL的微博视频,乌克兰
4744756813108096,【#乌克兰难民控诉被政府抛弃#】俄乌冲突已爆发数日，两名被困的乌克兰女性哭诉称，她们带着孩子已经在地下室呆了十余天，当地没有网络和信号，不知道外界是否还有撤离通道。政府官员也早已带着家人逃走，而她们却被抛弃在这里。当地人们也一直呼吁政府能留出一条安全通道，他们想要逃离这个战乱的地方...全文,乌克兰
4744756800523232,实时快报：【#俄媒：扎哈罗娃警告西方不要向乌克兰派遣“雇佣兵”#】云财经讯，俄罗斯卫星网8日报道称，俄罗斯外交部发言人扎哈罗娃当天表示，向乌克兰派遣雇佣兵将引发全球灾难，警告西方不要向乌克兰派遣雇佣兵。,乌克兰
4744756799996950,美国与波兰协商向乌克兰派遣战机问题:乌克兰飞行员很善于驾驶俄制飞机，另外这些飞机可以更快地部署并参与战斗。美国政府告诉波兰，提供俄制米格战机不需要美国许可。布林肯说美国已批准飞机移交程序，但波兰仍未决定。波兰总理在此前的推文中说“波兰将向乌克兰提供米格战机，以换取美国的f-16战...全文,乌克兰
4744756770635885,#伦敦金#国际黄金#美原油#我一直都说过只要乌克兰和俄罗斯的局势没有得到有效的缓解，那么行情就一定会以涨为主的。早盘也告诉大家大趋势依旧看涨为主，而且之前空间被从2015扩大到2025，目前行情已经站上2000，接下来如果形成以2000为底部，那么行情就会刷新2020新高2075.这些之前都给做过分析。激进...全文,乌克兰
4744756682294020,#又有两架接返自乌克兰撤离中国公民临时航班安全回国#（新华社）中国反邪教的微博视频,乌克兰
4744755832162811,【普京：乌克兰战场上没有刚征召的新兵和预备役人员】普京总统在国际妇女节来临之际向正在参加乌克兰特别军事行动的俄罗斯军人家属致以节日祝贺。普京说，“我希望向我们正在战斗中的士兵和军官们的母亲、妻子、姐妹、未婚妻和女性朋友致敬。他们在特别军事行动中保卫着俄罗斯。我理解你们对自己挚...全文,乌克兰
4744755822725649,录唱：乌克兰妇女之歌,乌克兰
4744755701616420,精简版：国际法院（ICJ）是联合国官方机构，对俄罗斯在内的所有成员国都有约束力。但是，国际法院本身没有执行权，需要依赖安理会才能强制执行。历史上有且仅有一次，有国家向安理会控诉败诉方拒不执行国际法院判决。1986年，尼加拉瓜在取得对美国的胜诉判决后，要求安理会强制执行，但是被美国动用...全文,乌克兰
4744755659669842,#泽连斯基警告西方##关注俄乌局势最新进展##凤凰新闻#【泽连斯基警告西方：现在是我们接下来就轮到你们了】据美国有线电视新闻网（CNN）3月8日报道，乌克兰总统弗拉基米尔•泽连斯基（VolodymyrZelensky）接受采访时警告西方国家，战争不会止步于乌克兰，对...泽连斯基警告西方：现在是我们接下来就轮到你们了,乌克兰
4744755659149940,日媒爆料：英美向乌派出特殊混合小组，做好“随时”将泽连斯基撤离准备。……。英美帝国：“我们准备给乌克兰这台战车换个零件。我们准备好给乌克兰换个总统。”,乌克兰
